CARRERA,ASIGNATURA,COD. ASIG,COMISIÓN,TURNO,DIA,HORA,MODALIDAD,SEDE,Aulas
Tec. en Automatizacion y Control y Tec. en Protesis Dental,"Herramientas computacionales para la Ing. Y la Ciencia",4,1,noche,martes,19 a 22,presencial,Escuela N° 5,4
,,,2,noche,miércoles,19 a 22,presencial,Escuela N° 5,1
Tec. en Comunicación Digital,"Taller de Ciencia, Tecnología y Sociedad/Ciencia, tecnología e Innovación",1/269,1,mañana,martes,8 a 12,virtual,virtual,---------------------
Tec. en Diseño y Desarrollo de Producto,,,2,tarde,jueves,14 a 18,virtual,virtual,---------------------
Lic. en Administración,,,3,mañana,martes,10 a 14,presencial,Campus Unab - Aula Magna,8
